glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
khah-ar.medi.ss07,uni062E.medi.ss07,,618,,ss07
khah-ar.medi.low,uni062E.medi.low,,619,,
khah-ar.medi.stack,uni062E.medi.stack,,620,,
jeemTwodotsabove-ar,uni08A2,08A2,641,,
jeemTwodotsabove-ar.fina,uni08A2.fina,,642,,
jeemTwodotsabove-ar.medi,uni08A2.medi,,643,,
jeemTwodotsabove-ar.init,uni08A2.init,,644,,
jeemTwodotsabove-ar.fina.alt,uni08A2.fina.alt,,646,,
jeemTwodotsabove-ar.fina.ss07,uni08A2.fina.ss07,,647,,ss07
jeemTwodotsabove-ar.medi.ss07,uni08A2.medi.ss07,,648,,ss07
jeemTwodotsabove-ar.medi.low,uni08A2.medi.low,,649,,
jeemTwodotsabove-ar.medi.stack,uni08A2.medi.stack,,650,,
dal-ar,uni062F,062F,661,,
dal-ar.fina,uni062F.fina,,662,,
dal-ar.alt,uni062F.alt,,663,,
dal-ar.fina.alt,uni062F.fina.alt,,664,,
thal-ar,uni0630,0630,667,,
thal-ar.fina,uni0630.fina,,668,,
thal-ar.alt,uni0630.alt,,671,,
thal-ar.fina.alt,uni0630.fina.alt,,672,,
reh-ar,uni0631,0631,729,,
reh-ar.fina,uni0631.fina,,730,,
zain-ar,uni0632,0632,733,,
zain-ar.fina,uni0632.fina,,734,,
jeh-ar,uni0698,0698,769,,# cv90
jeh-ar.fina,uni0698.fina,,770,,
seen-ar,uni0633,0633,807,,
seen-ar.fina,uni0633.fina,,808,,
seen-ar.medi,uni0633.medi,,809,,
seen-ar.init,uni0633.init,,810,,
seen-ar.shrtail,uni0633.shrtail,,811,,
seen-ar.longtail,uni0633.longtail,,812,,
seen-ar.fina.shrtail,uni0633.fina.shrtail,,813,,
seen-ar.fina.longtail,uni0633.fina.longtail,,814,,
seen-ar.medi.flat,uni0633.medi.flat,,815,,
seen-ar.fina.low,uni0633.fina.low,,816,,
sheen-ar,uni0634,0634,825,,
sheen-ar.fina,uni0634.fina,,826,,
sheen-ar.medi,uni0634.medi,,827,,
sheen-ar.init,uni0634.init,,828,,
sheen-ar.shrtail,uni0634.shrtail,,829,,
sheen-ar.longtail,uni0634.longtail,,830,,
sheen-ar.fina.shrtail,uni0634.fina.shrtail,,831,,
sheen-ar.fina.longtail,uni0634.fina.longtail,,832,,
sheen-ar.medi.flat,uni0634.medi.flat,,833,,
sheen-ar.fina.low,uni0634.fina.low,,834,,
sad-ar,uni0635,0635,863,,
sad-ar.fina,uni0635.fina,,864,,
sad-ar.medi,uni0635.medi,,865,,
sad-ar.init,uni0635.init,,866,,
sad-ar.alt,uni0635.alt,,869,,
sad-ar.fina.alt,uni0635.fina.alt,,870,,
sad-ar.medi.flat,uni0635.medi.flat,,871,,
sad-ar.init.flat,uni0635.init.flat,,872,,
